lon_fit,lat_fit,ele_fit,width,depth,dist,Wetland_4,CatchmentSize_ha,pCO2_ppm,F_CO2_umol_m2_s,Ele_downstream,Ele_upstream,Stream_name,Ele_diff,reach_length,slope_m.m,k_m_d,Sc,K600
-78.20087673,-0.329343,4090.21018,45.5,13,640.9930065,Gavilan Outlet,82.7595,794.6122934,0.99,4083.062917,4090.399472,GaviOutlet,7.336555,30,0.244551833,6.410584316,1161.64726,8.919882379
-78.20103024,-0.329534,4087.790096,50,54,668.2828087,Gavilan Outlet,82.9215,760.3268293,0.915,4080.818199,4086.44025,GaviOutlet,5.622051,30,0.1874017,6.509639213,1167.50934,9.080535814
-78.20120445,-0.329722,4085.651831,75,47.5,696.8330336,Gavilan Outlet,83.3823,920.4262494,0.245,4076.280062,4080.59955,GaviOutlet,4.319488,30,0.143982933,1.183139104,1169.853741,1.652060576
-78.20135943,-0.329866,4082.19048,92,32.5,720.3990958,Gavilan Outlet,83.3976,1095.07967,0.385,4074.431582,4078.130079,GaviOutlet,3.698497,30,0.123283233,1.373488827,1176.264029,1.923100204
-78.20170784,-0.330135,4078.392053,111,39.5,769.4444454,Gavilan Outlet,83.4084,859.3492507,2.665,4071.16097,4072.396731,GaviOutlet,1.235761,30,0.041192033,14.61626795,1180.305688,20.50020108
-78.20188644,-0.330257,4078.42127,110,16.5,793.5283416,Gavilan Outlet,83.4858,1183.100985,0.845,4069.792066,4072.296999,GaviOutlet,2.504933,30,0.083497767,2.659144504,1182.538525,3.733137295
-78.20221485,-0.330476,4077.498993,127,29.5,837.467801,Gavilan Outlet,86.3172,1485.95789,0.505,4068.749954,4069.762124,GaviOutlet,1.01217,30,0.033739,1.135373795,1185.224751,1.595745385
-78.20239331,-0.330601,4075.514386,119.5,29,861.7144008,Gavilan Outlet,86.3226,1715.493786,0.45,4067.990914,4069.714225,GaviOutlet,1.723311,30,0.0574437,0.830011353,1191.106611,1.169455566
-78.20255286,-0.330722,4073.785545,124.5,25,883.9961547,Gavilan Outlet,88.7103,605.5983241,0.025,4066.816484,4067.735501,GaviOutlet,0.919017,30,0.0306339,0.325864369,1189.448179,0.458811203
-78.20272262,-0.330864,4071.983226,172.5,23,908.6259036,Gavilan Outlet,88.7472,605.5399379,0.25,4066.440083,4068.264503,GaviOutlet,1.82442,30,0.060814,3.273498051,1182.055795,4.594681901
-78.20288583,-0.33101,4070.018455,157,20.5,933.0006551,Gavilan Outlet,88.7643,583.1253581,1.315,4063.515175,4066.425166,GaviOutlet,2.909991,30,0.0969997,19.75580649,1169.253871,27.5786845
-78.20295142,-0.331068,4068.714959,157.5,25,942.7503274,Gavilan Outlet,88.794,577.62168,0.26,4062.607299,4066.283479,GaviOutlet,3.67618,30,0.122539333,4.083552674,1149.288358,5.651673187
-78.20326454,-0.331305,4066.015629,116.5,24.5,986.5435796,Gavilan Outlet,88.8309,537.6402185,0.43,4061.601841,4065.204126,GaviOutlet,3.602285,30,0.120076167,9.168298627,1138.728499,12.63057786
-78.20327396,-0.331311,4065.992125,121,24,987.7886879,Gavilan Outlet,107.1243,567.7224979,0.17,4060.140437,4062.830216,GaviOutlet,2.689779,30,0.0896593,2.881643287,1130.096038,3.954779464
-78.20359633,-0.331489,4062.590527,315,53.5,1028.845743,Gavilan Outlet,107.8146,466.8255368,0.75,4055.218788,4058.607843,GaviOutlet,3.389055,30,0.1129685,42.63737847,1116.015328,58.15003079
-78.20378211,-0.331577,4055.615043,1000,NA,1051.743607,Gavilan Outlet,107.856,475.4753116,0.025,4053.587007,4058.421859,GaviOutlet,4.834852,30,0.161161733,1.196944149,1117.265156,1.633339212
-78.20384313,-0.331605,4053.85749,600,100,1059.218742,Gavilan Outlet,107.9568,443.9843501,-0.035,4053.169407,4056.538831,GaviOutlet,3.369424,30,0.112314133,-4.359757152,1110.851167,-5.932183976
-78.19960552,-0.324216711,4148.748203,47.5,39,3.043758344,Gavilan Inlet,38.7225,566.4882038,0.09,4146.060896,4154.677126,GaviInlet,8.61623,20,0.4308115,1.459619752,1151.397477,2.021979477
-78.19960236,-0.324359711,4140.191773,72,22.5,19.106936,Gavilan Inlet,38.7549,1556.697444,1.22,4138.354388,4143.647199,GaviInlet,5.292811,20,0.26464055,2.57271542,1174.559879,3.599595543
-78.19965015,-0.324669711,4135.948116,53.5,27,54.1434052,Gavilan Inlet,39.825,788.703259,0.235,4136.725594,4138.184536,GaviInlet,1.458942,20,0.0729471,1.541673367,1147.649304,2.132167619
-78.19962914,-0.324821711,4135.922456,75,25,71.25378084,Gavilan Inlet,40.122,1111.944302,2.605,4135.143749,4136.914884,GaviInlet,1.771135,20,0.08855675,9.033027701,1169.97729,12.6138143
-78.19961549,-0.325087711,4132.130382,50,27.5,101.1217373,Gavilan Inlet,40.3992,619.022998,0.295,4132.231851,4134.55668,GaviInlet,2.324829,20,0.11624145,3.603289906,1127.377046,4.939217763
-78.19961798,-0.325100711,4131.933789,50,27.5,102.5957333,Gavilan Inlet,40.4613,1215.550548,0.105,4126.675457,4133.646457,GaviInlet,6.971,20,0.34855,0.318466636,1159.02635,0.442624012
-78.19968867,-0.325347711,4122.520919,66.5,32.5,131.2083596,Gavilan Inlet,40.5378,921.9810527,0.54,4121.850961,4126.116285,GaviInlet,4.265324,20,0.2132662,2.605091432,1151.016792,3.608179835
-78.19970056,-0.325404711,4121.711353,66.5,32.5,137.6898395,Gavilan Inlet,40.8771,544.0804486,0.015,4119.971384,4126.910554,GaviInlet,6.93917,20,0.3469585,0.294653054,1122.533414,0.403027759
