lon_fit,lat_fit,ele_fit,width,depth,dist,Wetland,Wetland_2,Wetland_3,Wetland_4,Wetland_5,CatchmentSize_ha,Date,pCO2_ppm,F_CO2_umol_m2_s,flux_umolpers,Flux_gCO2asCperM2perDay,Totalflux_umolpers,WaterTemp_c,AirTemp_c,air_pressure_hpa,surface_area,DOC,TDN,pCO2_air_ppm,air_pressure_atm,water_pressure_atm,pCO2_w_atm,pCO2_air_atm,KH_mol.l.atm,KH_mol.m3.atm,Flux_mol_m2_d,k_m_d,Sc,K600
-78.19276832,-0.315590145,4301.832308,41.5,94,244.16928,ANTE,Antenas,ANTE,ANTE,ANTE,4.8294,7/6/21,1209.46321,0.285,4.332871007,0.295488,25.67967956,9.0615,6.879,626.3334,15.20305617,NA,NA,416.45,0.601190711,0.619110867,0.000748792,0.000250366,0.055875834,55.87583393,0.024624,0.884166271,1090.780333,1.192139197
-78.19266507,-0.315761145,4302.222193,45.5,14.5,221.7485368,ANTE,Antenas,ANTE,ANTE,ANTE,4.3722,7/6/21,1272.841318,0.235,3.160431221,0.243648,21.34680855,9.0615,6.879,626.3334,13.4486435,NA,NA,416.45,0.601144536,0.619110867,0.00078803,0.000250347,0.055875834,55.87583393,0.020304,0.675820061,1090.780333,0.911221805
-78.1925583,-0.316121145,4306.77104,60,18,174.6643894,ANTE,Antenas,ANTE,ANTE,ANTE,3.9591,7/6/21,928.338098,0.11,1.744993484,0.114048,18.18637733,9.195,6.884,626.2784,15.86357713,NA,NA,416.45,0.600551532,0.619056586,0.000574694,0.0002501,0.055651606,55.65160645,0.009504,0.526123939,1082.179484,0.706581213
-78.19236386,-0.316258145,4309.072122,113.5,20,148.0300794,ANTE,Antenas,ANTE,ANTE,ANTE,3.0609,7/6/21,1578.686108,0.245,7.468277686,0.254016,16.44138385,9.337,6.89,626.4394,30.48276607,NA,NA,416.45,0.600437908,0.619215481,0.000977547,0.000250052,0.055414321,55.41432094,0.021168,0.52508316,1073.123726,0.702226741
-78.1922171,-0.317096145,4314.422195,33,13.5,46.46553906,ANTE,Antenas,ANTE,ANTE,ANTE,0.5553,7/5/21,11459.57361,1.365,0,1.415232,4.734350404,8.41425,6.666,627.9044,0,2.809,0.101,416.45,0.601250137,0.620661324,0.007112514,0.000250391,0.056978914,56.97891414,0.117936,0.301629417,1133.70568,0.414618075
-78.19221589,-0.317135145,4314.845122,33,13.5,42.12155203,ANTE,Antenas,ANTE,ANTE,ANTE,0.5517,7/5/21,1132.429194,0.055,0.225474735,0.057024,4.734350404,8.53875,6.662,627.8904,4.09954063,3.059,0.09726,416.45,0.601186232,0.620647507,0.000702839,0.000250364,0.05676466,56.76465965,0.004752,0.185013522,1125.28843,0.253372672
-78.19220306,-0.317253145,4316.716075,24,7.5,28.90388363,ANTE,Antenas,ANTE,ANTE,ANTE,0.4698,7/5/21,1276.566228,0.085,0.326134215,0.088128,4.50887567,8.905,6.666,627.7364,3.836873112,NA,NA,416.45,0.600812668,0.62049552,0.000792104,0.000250208,0.056140115,56.14011505,0.007344,0.241403784,1100.971708,0.327006607
-78.19218118,-0.317380145,4319.310512,38,3.5,14.55628335,ANTE,Antenas,ANTE,ANTE,ANTE,0.3159,7/5/21,5341.61136,1,4.092839941,1.0368,4.182741455,9.09625,6.667,627.6114,4.092839941,3.226,0.125,416.45,0.600382041,0.620372155,0.003313787,0.000250029,0.05581736,55.81736033,0.0864,0.505231024,1088.533353,0.680511167
-78.1921692,-0.316536145,4312.018482,31,9,110.1921652,ANTE,Antenas,ANTE,ANTE,ANTE,2.5047,7/6/21,4894.492681,0.255,4.238755756,0.264384,8.97310616,9.337,6.89,626.4394,16.62257159,2.405,0.1359,416.45,0.600088968,0.619215481,0.003030746,0.000249907,0.055414321,55.41432094,0.022032,0.14297369,1073.123726,0.19120771
-78.19214109,-0.317504145,4322.593278,10,3,0,ANTE,Antenas,ANTE,ANTE,ANTE,0.2025,7/5/21,NA,0.083333333,0.089901514,NA,0.089901514,NA,NA,NA,1.07881817,NA,NA,416.45,NA,NA,NA,NA,NA,NA,0.0072,NA,NA,NA
-78.19976445,-0.347530411,3898.481785,500,30.5,1070.935823,COLM,Colmillo,COLM,COLM,COLM,193.833,7/6/21,921.4522092,1.005,36.0403978,1.041984,1320.645307,6.978,6.849,626.8694,35.86109234,NA,NA,416.45,0.649488825,0.619639858,0.000570969,0.00027048,0.059524255,59.52425458,0.086832,4.854644275,1236.626974,6.969492336
-78.19975087,-0.346920411,3899.003342,175,53.5,1002.255376,COLM,Colmillo,COLM,COLM,COLM,193.8069,7/6/21,849.2232479,0.22,26.76235928,0.228096,1239.967634,6.978,6.847928571,626.9213643,121.6470877,NA,NA,416.45,0.649478341,0.619691143,0.000526256,0.000270475,0.059524255,59.52425458,0.019008,1.248459327,1236.626974,1.792330646
-78.1997358,-0.347230411,3898.863607,590,22,1036.839049,COLM,Colmillo,COLM,COLM,COLM,193.8177,7/6/21,1103.597847,1.485,44.63727485,1.539648,1284.604909,6.978,6.847,626.9664,30.05877094,NA,NA,416.45,0.649539337,0.619735589,0.000683939,0.000270501,0.059524255,59.52425458,0.128304,5.213574981,1236.626974,7.484785458
-78.19967273,-0.347920411,3897.820983,112.5,20.5,1117.91863,COLM,Colmillo,COLM,COLM,COLM,193.8402,7/6/21,987.1542729,2.15,121.8014268,2.22912,1442.446733,7.079,6.852,626.8684,56.65182642,NA,NA,416.45,0.649566097,0.619638871,0.000611679,0.000270512,0.059340733,59.34073322,0.18576,9.175543997,1229.026702,13.13218088
-78.19956692,-0.348310411,3897.523723,104.5,40.5,1164.414129,COLM,Colmillo,COLM,COLM,COLM,193.8555,7/6/21,979.2442331,1.06,54.36167589,1.099008,1496.808409,7.129,6.853,626.7424,51.28459989,NA,NA,416.45,0.64947695,0.619514519,0.000606656,0.000270475,0.059250139,59.25013935,0.091584,4.597869309,1225.285123,6.570517519
-78.1993405,-0.348780411,3896.444919,89,85,1223.971345,COLM,Colmillo,COLM,COLM,COLM,210.2958,7/6/21,NA,2.675,122.3442756,2.77344,1619.152685,NA,NA,NA,45.73617778,NA,NA,416.45,NA,NA,NA,NA,NA,NA,0.23112,NA,NA,NA
-78.1992679,-0.348860411,3895.989738,88,72,1236.194501,COLM,Colmillo,COLM,COLM,COLM,210.3696,7/6/21,1022.632975,1.345,31.49760514,1.394496,1650.65029,7.179,6.855,626.7694,23.41829378,NA,NA,416.45,0.649685268,0.619541166,0.000633563,0.000270561,0.059159716,59.15971604,0.116208,5.411294533,1221.557339,7.721158653
-78.19996523,-0.346350411,3899.002867,165,28,933.2268754,COLM,Colmillo,COLM,COLM,COLM,190.8738,7/7/21,836.6046946,0.135,10.31259008,0.139968,1120.018276,8.68,6.899,625.6314,76.38955613,NA,NA,416.45,0.648205302,0.618418047,0.000517371,0.000269945,0.056522783,56.52278291,0.011664,0.83402302,1115.832165,1.137370215
-78.19994467,-0.346520411,3899.002999,165,28,952.534841,COLM,Colmillo,COLM,COLM,COLM,193.1535,7/7/21,1345.388003,0.08,5.170667278,0.082944,1125.188943,8.7295,6.903,625.7264,64.63334097,1.719,0.0869,416.45,0.648299044,0.618511805,0.000832138,0.000269984,0.05643832,56.43832029,0.006912,0.21785833,1112.541606,0.296658418
-78.19993737,-0.346140411,3899.735309,154,24,909.6432784,COLM,Colmillo,COLM,COLM,COLM,190.4778,7/7/21,819.375235,1.81,47.15564017,1.876608,1109.705686,8.68,6.899,625.6314,26.05283987,1.507,0.0712,416.45,0.648118558,0.618418047,0.000506716,0.000269909,0.056522783,56.52278291,0.156384,11.68351185,1115.832165,15.93298754
-78.1999367,-0.346540411,3899.003016,143,20,954.9547151,COLM,Colmillo,COLM,COLM,COLM,193.3668,7/7/21,1257.75926,0.44,88.0163318,0.456192,1213.205275,8.481,6.888,625.6324,200.0371177,NA,NA,416.45,0.648206271,0.618419034,0.000777822,0.000269946,0.056863919,56.86391884,0.038016,1.316349729,1129.183175,1.805834153
-78.19986573,-0.345870411,3903.098292,128,40,878.3681408,COLM,Colmillo,COLM,COLM,COLM,190.3257,7/7/21,764.1083701,0.785,35.41739974,0.813888,1062.550045,8.581,6.897,625.6534,45.11770668,NA,NA,416.45,0.64774199,0.618439759,0.000472555,0.000269752,0.056692177,56.69217693,0.067824,5.899106308,1122.449551,8.06852247
-78.19973816,-0.345690411,3906.476466,105.5,20,853.8253044,COLM,Colmillo,COLM,COLM,COLM,187.7076,7/7/21,754.3712352,0,0,0,1027.132646,8.507923077,6.890692308,625.6620154,63.64807351,1.642,0.07594,416.45,0.647350413,0.618448262,0.00046654,0.000269589,0.056817618,56.81761751,0,0,1127.365372,0
-78.19954955,-0.345230411,3911.819395,110,16.5,795.2167193,COLM,Colmillo,COLM,COLM,COLM,175.5684,7/7/21,1245.17563,0.33,39.89821594,0.342144,1027.132646,8.531,6.893,625.6874,120.9036847,NA,NA,416.45,0.646742698,0.618473315,0.000770108,0.000269336,0.056777968,56.77796771,0.028512,1.00278513,1125.810135,1.373614407
-78.19879954,-0.341940411,3931.936076,52,45.5,259.551666,COLM,Colmillo,COLM,COLM,COLM,80.2872,7/7/21,727.4525297,1.73,20.92997959,1.793664,98.66875255,7.832,6.872,626.0604,12.0982541,1.569,0.08167,416.45,0.644728386,0.618841437,0.000450178,0.000268497,0.057994274,57.99427406,0.149472,14.18620057,1174.116587,19.84477057
-78.19868222,-0.341540411,3935.450216,38,38.5,208.1086889,COLM,Colmillo,COLM,COLM,COLM,80.2476,7/7/21,840.9457288,2.47,25.65768138,2.560896,71.14315183,7.832,6.872,626.0604,10.38772525,1.505,0.06122,416.45,0.644312203,0.618841437,0.000520412,0.000268324,0.057994274,57.99427406,0.213408,14.59731509,1174.116587,20.41986982
-78.19860447,-0.342140411,3930.637613,43,64.5,290.942333,COLM,Colmillo,COLM,COLM,COLM,105.3261,7/7/21,1011.31155,0.625,21.90152695,0.648,120.5702795,7.882,6.872,625.9294,35.04244312,NA,NA,416.45,0.644752877,0.61871215,0.000625711,0.000268507,0.057906209,57.9062093,0.054,2.610676323,1170.577615,3.646510871
-78.19852276,-0.344560411,3922.707348,30,25.5,654.3711052,COLM,Colmillo,COLM,COLM,COLM,174.3336,7/7/21,1318.547174,4.315,375.287493,4.473792,987.2344297,8.382,6.882,625.6834,86.97276779,NA,NA,416.45,0.645449281,0.618469367,0.000815481,0.000268797,0.057034577,57.03457653,0.372816,11.9569444,1135.898727,16.45183674
-78.19826536,-0.343890411,3925.455883,56.5,46,555.0581202,COLM,Colmillo,COLM,COLM,COLM,171.0621,7/7/21,1218.528675,1.95,46.45760715,2.02176,559.7518378,8.182,6.877,625.5754,23.82441392,NA,NA,416.45,0.645017182,0.618362779,0.000753493,0.000268617,0.057381273,57.38127283,0.16848,6.055472695,1149.616514,8.382024423
-78.19821968,-0.344100411,3924.651575,70,75,580.5325716,COLM,Colmillo,COLM,COLM,COLM,172.3824,7/7/21,1313.90785,1.185,36.55686787,1.228608,596.3087056,8.232,6.879,625.5334,30.84967753,NA,NA,416.45,0.645070986,0.618321328,0.000812417,0.00026864,0.057294355,57.29435541,0.102384,3.286238455,1146.168011,4.542004811
-78.19818622,-0.344320411,3923.856088,87.5,71,607.8024248,COLM,Colmillo,COLM,COLM,COLM,173.1636,7/7/21,1340.152269,1.23,15.63823108,1.275264,611.9469367,8.282,6.881,625.6254,12.71400901,NA,NA,416.45,0.645255994,0.618412125,0.000828766,0.000268717,0.0572076,57.20760045,0.106272,3.316948022,1142.732243,4.577573029
-78.19807751,-0.343660411,3926.42748,60.5,61,522.1127788,COLM,Colmillo,COLM,COLM,COLM,169.7769,7/7/21,1019.784908,2.105,47.71586985,2.182464,513.2942306,8.182,6.877,625.5754,22.66787166,NA,NA,416.45,0.644902115,0.618362779,0.000630597,0.000268569,0.057381273,57.38127283,0.181872,8.754957681,1149.616514,12.11866898
-78.19791545,-0.343410411,3927.779235,31.5,24,488.8557894,COLM,Colmillo,COLM,COLM,COLM,169.7688,7/7/21,1250.423056,2.31,55.22378311,2.395008,465.5783608,8.082,6.875,625.6154,23.90639962,NA,NA,416.45,0.644781503,0.618402256,0.000773264,0.000268519,0.057555597,57.55559652,0.199584,6.870146227,1156.551915,9.538342692
-78.19784387,-0.342620411,3929.160172,105,50.5,391.5225427,COLM,Colmillo,COLM,COLM,COLM,166.113,7/7/21,1273.369103,2.45,267.577282,2.54016,388.1475615,8.0325,6.873,625.5694,109.2152171,NA,NA,416.45,0.644572559,0.618356858,0.000787397,0.000268432,0.057642129,57.64212862,0.21168,7.076236743,1160.003973,9.839124758
-78.19773368,-0.342970411,3928.951287,130,74.5,432.8403863,COLM,Colmillo,COLM,COLM,COLM,166.4082,7/7/21,1055.136888,0.485,22.20701619,0.502848,410.3545777,7.983,6.872,625.7914,45.78766225,NA,NA,416.45,0.644816394,0.618575955,0.000652682,0.000268534,0.057728821,57.72882136,0.041904,1.889572787,1163.468697,2.631269624
NA,NA,NA,105,58,NA,COLM,Colmillo,COLM,COLM,COLM,NA,7/7/21,NA,2.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,416.45,NA,NA,NA,NA,NA,NA,0.179712,NA,NA,NA
-78.19957917,-0.340520411,3946.810428,53.5,27,51.02666786,COLM,Colmillo,COLM,COLM,COLM,53.4267,7/9/21,NA,0.175,4.431923785,0.18144,-8.524839015,NA,NA,NA,25.32527877,2.824,0.1087,416.45,NA,NA,NA,NA,NA,NA,0.01512,NA,NA,NA
-78.19950772,-0.340090411,3948.605975,47.5,39,1.463504132,COLM,Colmillo,COLM,COLM,COLM,50.5062,7/9/21,701.356737,NA,NA,NA,NA,7.28,6.932,626.0484,19.48385383,2.753,0.1637,416.45,0.642742313,0.618829594,0.00043402,0.00026767,0.05897758,58.97757962,-0.057456,-5.856321849,1214.069096,-8.330498938
-78.19934683,-0.340800411,3944.615601,55,24,94.15681054,COLM,Colmillo,COLM,COLM,COLM,75.6369,7/9/21,883.8983801,0.16,4.869524079,0.165888,-3.655314936,7.179,6.927,626.2844,30.43452549,NA,NA,416.45,0.64344781,0.619062508,0.000547188,0.000267964,0.059159716,59.15971604,0.013824,0.836862507,1221.557339,1.194085473
-78.19907918,-0.341160411,3940.952225,69,34.5,145.2527314,COLM,Colmillo,COLM,COLM,COLM,78.12,7/9/21,NA,1.25,47.93761597,1.296,44.28230104,NA,NA,NA,38.35009278,NA,NA,416.45,NA,NA,NA,NA,NA,NA,0.108,NA,NA,NA
-78.19879791,-0.341780411,3933.003971,68.5,29,240.2440575,COLM,Colmillo,COLM,COLM,COLM,80.2764,7/9/21,NA,0.505,6.595621136,0.523584,77.73877297,NA,NA,NA,13.06063591,NA,NA,416.45,NA,NA,NA,NA,NA,NA,0.043632,NA,NA,NA
-78.19878283,-0.341450411,3936.665451,NA,NA,193.670567,COLM,Colmillo,COLM,COLM,COLM,79.4763,7/9/21,761.8216451,0.075,1.203169417,0.07776,45.48547045,7.129,6.925,626.2944,16.0422589,NA,NA,416.45,0.644399222,0.619072377,0.000471623,0.00026836,0.059250139,59.25013935,0.00648,0.538056622,1225.285123,0.768901903
-78.20227,-0.3304933,4073.206,40.5,3.5,238.1902,GAVItrib1,Gavilan Tributaries,Gavilan River Network,GAVItrib1,GavilanTribs,1.4985,6/23/21,5068.857,1.335,NA,1.384128,NA,9.54925,6.754,627.3704,NA,3.446,0.1113,416.45,0.629290546,0.620134306,0.003143372,0.000262068,0.055061972,55.06197162,0.115344,0.727033055,1059.763921,0.966235738
-78.20218,-0.3301748,4075.106,23,7,199.872,GAVItrib1,Gavilan Tributaries,Gavilan River Network,GAVItrib1,GavilanTribs,1.2771,6/23/21,2334.253,0.68,NA,0.705024,NA,9.3875,6.754,627.3444,NA,NA,NA,416.45,0.629039867,0.620108646,0.00144749,0.000261964,0.055330236,55.33023559,0.058752,0.895671497,1069.926041,1.196051852
-78.20203,-0.3299719,4075.916,10,2,171.9825,GAVItrib1,Gavilan Tributaries,Gavilan River Network,GAVItrib1,GavilanTribs,1.2708,6/23/21,2415.417,1.34,NA,1.389312,NA,9.226,6.755,627.5004,NA,NA,NA,416.45,0.629097898,0.620262607,0.001498193,0.000261988,0.055599698,55.59969775,0.115776,1.684440232,1080.194402,2.260117103
-78.20194027,-0.329460713,4080.116025,91.5,5.1,110.8084104,GAVItrib1,Gavilan Tributaries,Gavilan River Network,GAVItrib1,GavilanTribs,1.2285,6/23/21,4538.995188,1.015,NA,1.052352,NA,8.67125,6.753,627.6234,NA,3.651,0.2276,416.45,0.628721878,0.620383998,0.00281592,0.000261831,0.056537729,56.53772941,0.087696,0.607303014,1116.415084,0.8284049
-78.20193958,-0.329581213,4079.741435,27,1,124.3400115,GAVItrib1,Gavilan Tributaries,Gavilan River Network,GAVItrib1,GavilanTribs,1.233,6/23/21,1924.716274,0.585,NA,0.606528,NA,8.7735,6.754,627.7474,NA,NA,NA,416.45,0.628888619,0.620506377,0.001194299,0.000261901,0.056363373,56.36337321,0.050544,0.961770103,1109.626765,1.307928819
-78.20192275,-0.329803013,4077.422521,11.5,1.75,149.4211764,GAVItrib1,Gavilan Tributaries,Gavilan River Network,GAVItrib1,GavilanTribs,1.2663,6/23/21,2613.968845,0.82,NA,0.850176,NA,8.904,6.754,627.6564,NA,NA,NA,416.45,0.62907344,0.620416567,0.00162175,0.000261978,0.056141809,56.14180871,0.070848,0.928058001,1101.037208,1.257188767
-78.20184918,-0.329317413,4082.058608,16.5,5.75,91.6882921,GAVItrib1,Gavilan Tributaries,Gavilan River Network,GAVItrib1,GavilanTribs,1.2231,6/23/21,1895.811472,0.93,NA,0.964224,NA,8.46625,6.751,627.7894,NA,NA,NA,416.45,0.628655645,0.620547827,0.001176442,0.000261804,0.056889305,56.8893051,0.080352,1.544247117,1130.180608,2.119410588
-78.20173101,-0.329209813,4088.244061,31.5,4.5,73.89428625,GAVItrib1,Gavilan Tributaries,Gavilan River Network,GAVItrib1,GavilanTribs,1.1934,6/29/21,3489.783353,0.345,NA,0.357696,NA,8.95075,7.249,626.7634,NA,4.558,0.1381,416.45,0.626910514,0.619535244,0.002162044,0.000261077,0.056062698,56.06269776,0.029808,0.279694735,1097.980227,0.378360617
-78.20162978,-0.329106913,4091.655974,7,4,57.79782241,GAVItrib1,Gavilan Tributaries,Gavilan River Network,GAVItrib1,GavilanTribs,1.1304,6/29/21,11206.38178,1.15,NA,1.19232,NA,8.972,7.244,626.7364,NA,NA,NA,416.45,0.626479791,0.619508597,0.00694245,0.000260898,0.056026784,56.02678376,0.09936,0.265422977,1096.59418,0.358827615
-78.20159759,-0.328829913,4098.724497,44,2,25.57649902,GAVItrib1,Gavilan Tributaries,Gavilan River Network,GAVItrib1,GavilanTribs,0.9486,6/29/21,11098.654,3.005,NA,3.115584,NA,8.75275,7.232,626.7564,NA,NA,NA,416.45,0.625662399,0.619528336,0.006875931,0.000260557,0.056398702,56.39870225,0.259632,0.695880612,1111.000195,0.9469263
-78.20158192,-0.328979313,4094.147599,44,2,42.33414533,GAVItrib1,Gavilan Tributaries,Gavilan River Network,GAVItrib1,GavilanTribs,1.0269,6/29/21,7979.266913,0.205,NA,0.212544,NA,8.90575,7.239,626.7964,NA,4.961,0.1887,416.45,0.626243922,0.619567813,0.004943697,0.000260799,0.056138845,56.13884485,0.017712,0.067373555,1100.922585,0.091262472
-78.20152703,-0.328625413,4101.086326,NA,NA,0,GAVItrib1,Gavilan Tributaries,Gavilan River Network,GAVItrib1,GavilanTribs,0.5391,6/29/21,5319.166243,1.26,NA,1.306368,NA,8.6925,7.224,626.8284,NA,NA,NA,416.45,0.625453744,0.619599394,0.003295752,0.00026047,0.056501439,56.50143924,0.108864,0.634783654,1115.000078,0.865341553
-78.20152703,-0.328625413,4101.086326,NA,NA,0,GAVItrib1,Gavilan Tributaries,Gavilan River Network,GAVItrib1,GavilanTribs,0.5265,6/29/21,11095.729,1.675,NA,1.73664,NA,8.6375,7.22,626.9514,NA,NA,NA,416.45,0.625575136,0.619720786,0.006876254,0.000260521,0.056595426,56.5954259,0.14472,0.386517573,1118.667025,0.527769194
-78.20318554,-0.331215773,4063.573561,36,5,74.94060768,GAVItrib2,Gavilan Tributaries,Gavilan River Network,GAVItrib2,GavilanTribs,17.5878,6/23/21,1404.899821,2.28,NA,2.363904,NA,11.45275,6.775,626.9454,NA,2.786,0.07962,416.45,0.630011881,0.619714864,0.000870637,0.000262368,0.052022622,52.02262165,0.196992,6.225307035,948.8512132,7.828601907
-78.20316861,-0.330963273,4066.646854,32,4,46.7681834,GAVItrib2,Gavilan Tributaries,Gavilan River Network,GAVItrib2,GavilanTribs,18.2466,6/23/21,1460.886328,2.59,NA,2.685312,NA,11.34625,6.772,626.9774,NA,NA,NA,416.45,0.62967949,0.619746446,0.000905379,0.00026223,0.052187105,52.18710544,0.223776,6.667125659,954.6554485,8.409813081
-78.2031338,-0.330699873,4068.707018,44.5,6.5,17.17957104,GAVItrib2,Gavilan Tributaries,Gavilan River Network,GAVItrib2,GavilanTribs,16.5654,6/23/21,2019.293163,0.5,NA,0.5184,NA,10.8625,6.763,627.0124,NA,NA,NA,416.45,0.629470045,0.619780988,0.00125152,0.000262143,0.052942381,52.94238076,0.0432,0.824742921,981.597717,1.054896232
-78.20310205,-0.330560773,4069.821719,35.5,5.5,1.292980166,GAVItrib2,Gavilan Tributaries,Gavilan River Network,GAVItrib2,GavilanTribs,17.0406,6/23/21,3573.983273,0.655,NA,0.679104,NA,10.638,6.761,627.0104,NA,1.835,0.07048,416.45,0.629336056,0.619779014,0.00221508,0.000262087,0.053297482,53.29748184,0.056592,0.543685441,994.4300665,0.699937403
-78.20095874,-0.327111639,4109.03935,110,48,10.57274833,GAVItrib3,Gavilan Tributaries,Gavilan River Network,GAVItrib3,GavilanTribs,0.1107,6/30/21,1834.589139,0.105,NA,0.108864,NA,8.5275,6.823,626.0904,NA,NA,NA,416.45,0.623783512,0.618871045,0.001135374,0.000259775,0.056783979,56.78397906,0.009072,0.182461709,1126.045842,0.249962091
-78.20095407,-0.327118239,4108.997299,NA,NA,11.47265193,GAVItrib3,Gavilan Tributaries,Gavilan River Network,GAVItrib3,GavilanTribs,0.1764,6/29/21,2074.690358,0.105,NA,0.108864,NA,7.8905,7.196,627.1124,NA,NA,NA,416.45,0.624797128,0.61987968,0.001286058,0.000260197,0.057891255,57.89125471,0.009072,0.15275706,1169.97729,0.213311556
-78.20091729,-0.327175439,4108.933292,24.5,3.5,19.04367862,GAVItrib3,Gavilan Tributaries,Gavilan River Network,GAVItrib3,GavilanTribs,0.2943,6/30/21,1334.11874,0.255,NA,0.264384,NA,8.31275,6.768,626.1864,NA,NA,NA,416.45,0.623890817,0.618965789,0.000825774,0.000259819,0.057154327,57.15432669,0.022032,0.681119433,1140.625551,0.9391159
-78.200883,-0.327227939,4108.933102,21.25,3,26.02592192,GAVItrib3,Gavilan Tributaries,Gavilan River Network,GAVItrib3,GavilanTribs,0.4293,6/30/21,2015.453656,0.465,NA,0.482112,NA,8.36025,6.809,626.2334,NA,NA,NA,416.45,0.623937225,0.619012175,0.00124759,0.000259839,0.057072154,57.0721542,0.040176,0.712680124,1137.380717,0.981232564
-78.20077071,-0.327339039,4106.817377,20.5,3.5,43.70607485,GAVItrib3,Gavilan Tributaries,Gavilan River Network,GAVItrib3,GavilanTribs,0.5364,6/29/21,4965.087468,0.905,NA,0.938304,NA,8.0465,7.198,627.0824,NA,2.645,0.09103,416.45,0.62502569,0.619850073,0.00307761,0.000260292,0.057617639,57.61763862,0.078192,0.481693754,1159.02635,0.66948684
