lon_fit,lat_fit,ele_fit,width,depth,dist,Wetland,Wetland_2,Wetland_3,Wetland_4,Wetland_5,CatchmentSize_ha,Date,pCO2_ppm,F_CO2_umol_m2_s,flux_umolpers,Flux_gCO2asCperM2perDay,Totalflux_umolpers,WaterTemp_c,AirTemp_c,air_pressure_hpa,surface_area,DOC,TDN,pCO2_air_ppm,air_pressure_atm,water_pressure_atm,pCO2_w_atm,pCO2_air_atm,KH_mol.l.atm,KH_mol.m3.atm,Flux_mol_m2_d,k_m_d,Sc,K600
-78.19410084,-0.314707413,4267.13121,35.5,20.5,450.1685604,ANTE,Antenas,ANTE,ANTE,ANTE,10.1124,7/6/21,1008.527805,1.075,3.07858956,1.11456,39.65794318,8.5785,6.866,626.4494,2.863804242,3.958,0.09001,416.45,0.605414872,0.61922535,0.000624506,0.000252125,0.056696463,56.69646267,0.09288,4.399251353,1122.617285,6.017540384
-78.19405211,-0.314734413,4267.193224,10,4,443.9671375,ANTE,Antenas,ANTE,ANTE,ANTE,10.0629,7/5/21,785.6929274,0.11,0.105950414,0.114048,36.57935362,9.31775,6.669,627.5174,0.963185584,3.866,0.1229,416.45,0.606461562,0.620279384,0.000487349,0.000252561,0.055446415,55.44641483,0.009504,0.730056845,1074.345792,0.976906717
-78.19391905,-0.314820413,4268.199467,17.5,3.77,426.3215538,ANTE,Antenas,ANTE,ANTE,ANTE,6.1272,7/5/21,1744.438456,0.093333333,0.209692408,NA,36.4734032,8.7295,6.663,627.7264,2.246704369,NA,NA,416.45,0.606548659,0.620485651,0.001082399,0.000252597,0.05643832,56.43832029,0.008064,0.172187668,1112.541606,0.234468523
-78.19383481,-0.314887413,4272.298126,17,4,414.3369614,ANTE,Antenas,ANTE,ANTE,ANTE,6.0975,7/5/21,2425.550391,0.373333333,1.044437166,NA,36.2637108,9.09625,6.667,627.6114,2.797599552,NA,NA,416.45,0.605949755,0.620372155,0.001504744,0.000252348,0.05581736,55.81736033,0.032256,0.46142327,1088.533353,0.621505159
-78.19369663,-0.315026413,4275.542664,17.5,13,392.5013554,ANTE,Antenas,ANTE,ANTE,ANTE,5.9571,7/5/21,1026.038211,0.223333333,0.914670083,NA,35.21927363,8.905,6.666,627.7364,4.095537686,NA,NA,416.45,0.605688868,0.62049552,0.000636652,0.000252239,0.056140115,56.14011505,0.019296,0.894120274,1100.971708,1.21117918
-78.19361057,-0.315128413,4275.676881,66.5,22.25,377.6445531,ANTE,Antenas,ANTE,ANTE,ANTE,5.5764,7/6/21,563.8440146,0.075,0.293093584,0.07776,34.30460355,8.6765,6.868,626.3104,3.907914454,3.413,0.1029,416.45,0.604265619,0.619088168,0.000349069,0.000251646,0.056528761,56.52876092,0.00648,1.176644304,1116.065287,1.60477582
-78.19359638,-0.315145413,4275.687063,66.5,22.25,375.1796192,ANTE,Antenas,ANTE,ANTE,ANTE,5.5755,7/5/21,548.8156906,0.08,0.185922413,0.082944,34.01150996,8.41425,6.666,627.9044,2.324030167,3.018,0.07629,416.45,0.605837569,0.620661324,0.000340629,0.000252301,0.056978914,56.97891414,0.006912,1.373387361,1133.70568,1.887850427
-78.19357953,-0.315165413,4275.80655,56.5,15,372.2681579,ANTE,Antenas,ANTE,ANTE,ANTE,5.5107,7/6/21,316.8696346,-0.01,-0.154120123,-0.010368,33.82558755,8.6765,6.868,626.3104,15.41201234,NA,NA,416.45,0.604250263,0.619088168,0.00019617,0.00025164,0.056528761,56.52876092,-0.000864,0.275542015,1116.065287,0.375800199
-78.19309548,-0.3152581,4296.348541,54,7.25,303.4471123,ANTE,Antenas,ANTE,ANTE,ANTE,5.3289,7/6/21,522.9615036,0.265,4.313454692,0.274752,33.97970767,8.782,6.872,626.3554,16.27718752,NA,NA,416.45,0.60186187,0.619132579,0.000323783,0.000250645,0.056348909,56.34890896,0.022896,5.555666878,1109.064763,7.553339853
-78.19283657,-0.315412145,4301.504075,37.5,12,265.8126506,ANTE,Antenas,ANTE,ANTE,ANTE,5.2578,7/6/21,1311.062431,0.285,3.986573422,0.295488,29.66625298,8.96025,6.876,626.3154,13.98797692,NA,NA,416.45,0.601211819,0.619093102,0.00081167,0.000250375,0.056046639,56.04663857,0.024624,0.782740531,1097.360313,1.058563274
