"","dist","adjusted_ppm","Totalflux_umolpers","Wetland","Wetland_4","shape","Remove","Totalfux_gpers"
"189",324.67702625,605.5983241,127.45103112,"Gavi-mainstem","Gavilan Outlet","shape","Remove",0.00560784536928
"190",348.13277765,605.5399379,129.06681692,"Gavi-mainstem","Gavilan Outlet","shape","Remove",0.00567893994448
"191",372.63502785,583.1253581,136.47421477,"Gavi-mainstem","Gavilan Outlet","shape","Remove",0.00600486544988
"192",389.69723975,577.62168,145.04554587,"Gavi-mainstem","Gavilan Outlet","shape","Remove",0.00638200401828
"193",416.468702,537.6402185,149.42332197,"Gavi-mainstem","Gavilan Outlet","shape","Remove",0.00657462616668
"194",438.98788225,567.7224979,152.28864642,"Gavi-mainstem","Gavilan Outlet","shape","Remove",0.00670070044248
"195",460.13896395,466.8255368,167.29074127,"Gavi-mainstem","Gavilan Outlet","shape","Remove",0.00736079261588
"196",492.1164235,475.4753116,181.31738497,"Gavi-mainstem","Gavilan Outlet","shape","Remove",0.00797796493868
"197",507.302923,443.9843501,181.47467187,"Gavi-mainstem","Gavilan Outlet","shape","Remove",0.00798488556228
"198",0,566.4882038,0,"Gavi-mainstem","Gavilan Inlet","shape",NA,0
"199",11.075347172,1556.697444,6.807846875,"Gavi-mainstem","Gavilan Inlet","shape",NA,0.0002995452625
"200",36.6251706,788.703259,14.68959332,"Gavi-mainstem","Gavilan Inlet","shape",NA,0.00064634210608
"201",62.69859302,1111.944302,30.852643135,"Gavi-mainstem","Gavilan Inlet","shape",NA,0.00135751629794
"202",86.18775907,619.022998,48.571116735,"Gavi-mainstem","Gavilan Inlet","shape",NA,0.00213712913634
"203",101.8587353,1215.550548,51.936592245,"Gavi-mainstem","Gavilan Inlet","shape",NA,0.00228521005878
"204",116.90204645,921.9810527,55.01176642,"Gavi-mainstem","Gavilan Inlet","shape",NA,0.00242051772248
"205",134.44909955,544.0804486,57.69867476,"Gavi-mainstem","Gavilan Inlet","shape",NA,0.00253874168944
"206",149.80091365,496.5489676,58.9165007,"Gavi-mainstem","Gavilan Inlet","shape",NA,0.0025923260308
"207",168.42865425,NA,63.391342475,"Gavi-mainstem","Gavilan Inlet","shape",NA,0.0027892190689
"208",177.29497775,924.8185183,66.932842435,"Gavi-mainstem","Gavilan Inlet","shape",NA,0.00294504506714
"209",194.76736645,1407.279904,67.17646907,"Gavi-mainstem","Gavilan Inlet","shape",NA,0.00295576463908
"210",214.63673725,789.0074568,67.17646907,"Gavi-mainstem","Gavilan Inlet","shape",NA,0.00295576463908
"211",233.59774525,811.6096596,67.17646907,"Gavi-mainstem","Gavilan Inlet","shape",NA,0.00295576463908
"212",0,11095.729,0,"Tributary 1","Tributary 1","shape",NA,0
"213",12.78824950834,11098.654,11.3735627423918,"Tributary 1","Tributary 1","shape",NA,0.000500436760665241
"214",33.9553221709515,7979.26691316954,16.0359313563153,"Tributary 1","Tributary 1","shape",NA,0.000705580979677873
"215",50.0659838691751,11206.3817847618,17.038527345737,"Tributary 1","Tributary 1","shape",NA,0.000749695203212428
"216",65.8460543321576,3489.783353364,18.590218778729,"Tributary 1","Tributary 1","shape",NA,0.000817969626264076
"217",82.7912891779097,1895.81147205469,20.9448213010983,"Tributary 1","Tributary 1","shape",NA,0.000921572137248323
"218",101.24835126971,4538.99518803228,28.9741829402687,"Tributary 1","Tributary 1","shape",NA,0.00127486404937182
"219",117.574210961799,1924.71627395336,36.9497130215559,"Tributary 1","Tributary 1","shape",NA,0.00162578737294846
"220",136.880593954002,2613.96884497218,39.1936917219309,"Tributary 1","Tributary 1","shape",NA,0.00172452243576496
"221",160.701838209597,2415.417,43.57452323297,"Tributary 1","Tributary 1","shape",NA,0.00191727902225068
"222",185.92725,2334.253,54.43311102797,"Tributary 1","Tributary 1","shape",NA,0.00239505688523068
"223",219.0311,5068.857,64.49265101797,"Tributary 1","Tributary 1","shape",NA,0.00283767664479068
"224",0,3573.98327329648,0,"Tributary 2","Tributary 2","shape",NA,0
"225",9.23627560539573,2019.29316300797,4.43379126468207,"Tributary 2","Tributary 2","shape",NA,0.000195086815646011
"226",31.973877223595,1460.88632795381,21.8028903319358,"Tributary 2","Tributary 2","shape",NA,0.000959327174605174
"227",60.8543955399724,1404.89982093744,41.0224851912782,"Tributary 2","Tributary 2","shape",NA,0.00180498934841624
